175,Ozzie Guillen,SS,Topps,210,1992,EXCELLENT,,
176,Stan Javier,OF,Topps,581,1992,FAIR,,
177,Trever Miller,P,Topps,684,1992,EXCELLENT,,
178,Monty Fariss,SS,Topps,138,1992,GOOD,,
179,Mark Davis,P,Topps,766,1992,EXCELLENT,,
180,Terry Steinbach,C,Topps,234,1992,EXCELLENT,,
181,Bill Pecota,3B-SS,Topps,236,1992,EXCELLENT,,
182,David Wells,P,Topps,54,1992,EXCELLENT,,
183,Tommy Gregg,1B-OF,Topps,53,1992,EXCELLENT,,
184,Paul McClellan,P,Topps,424,1992,EXCELLENT,,
185,Mike Witt,P,Topps,357,1992,EXCELLENT,,
186,Damon Berryhill,C,Topps,49,1992,EXCELLENT,,
187,Dwayne Henry,P,Topps,668,1992,FAIR,,
188,Steve Olin,P,Topps,559,1992,EXCELLENT,,
189,Scott Garrelts,P,Topps,558,1992,EXCELLENT,,
190,Dave Righetti,P,Topps,35,1992,GOOD,,
191,Darren Daulton,C,Topps,244,1992,EXCELLENT,,
192,Jack McDowell,P,Topps,11,1992,EXCELLENT,,
193,Lonnie Smith,OF,Topps,467,1992,GOOD,,
194,George Brett,1B-3B,Topps,700,1988,EXCELLENT,,
195,Bobby Bonilla,1B-OF,Topps,681,1988,FAIR,,
196,Graig Nettles,1B-3B,Topps,574,1988,EXCELLENT,,
197,Dale Murphy,OF,Topps,90,1988,EXCELLENT,,
198,Terry Pendleton,3B,Topps,635,1988,GOOD,,
